profile,source_center,destination_center,recommendation,ETA_FTL,ETA_Carting,Time_Saved,Net_Benefit_INR,trip_count,pct_delayed,median_factor,Total_Excess_Min
CHRONIC DELAY — Monitor,IND680587AAA,IND683511AAA,CARTING,312.7,62.8,-249.9,-0.1,22,0.909,1.881,1554.0
CHRONIC DELAY — Monitor,IND733129AAA,IND732103AAB,CARTING,209.6,43.0,-166.6,-0.1,18,0.778,1.583,1547.0
CHRONIC DELAY — Monitor,IND208017AAA,IND209304AAA,CARTING,241.7,149.1,-92.6,-0.1,10,0.9,13.912,1545.0
CHRONIC DELAY — Monitor,IND400705AAA,IND421302AAH,CARTING,215.5,122.8,-92.7,-0.1,26,0.808,2.625,1506.0
CHRONIC DELAY — Monitor,IND411033AAA,IND000000AAL,CARTING,206.6,62.6,-144.0,-0.1,29,0.897,2.455,1461.0
CHRONIC DELAY — Monitor,IND110043AAA,IND000000ACB,CARTING,269.9,23.8,-246.0,-0.1,19,0.737,2.3,1453.0
CHRONIC DELAY — Monitor,IND131028AAB,IND110037AAM,CARTING,244.9,63.5,-181.4,-0.1,24,0.917,2.218,1416.0
CHRONIC DELAY — Monitor,IND400102AAB,IND421302AAG,CARTING,172.1,55.8,-116.2,-0.1,31,0.968,2.2,1353.0
CHRONIC DELAY — Monitor,IND382721AAA,IND382430AAB,CARTING,278.4,63.3,-215.1,-0.1,31,0.935,2.083,1291.0
CHRONIC DELAY — Monitor,IND401209AAB,IND401104AAA,CARTING,187.9,45.4,-142.5,-0.1,22,1.0,2.806,1247.0
CHRONIC DELAY — Monitor,IND462001AAA,IND462022AAA,CARTING,190.5,28.6,-161.9,-0.1,31,1.0,4.0,1236.0
CHRONIC DELAY — Monitor,IND562132AAA,IND560085AAA,CARTING,130.1,44.9,-85.1,-0.1,33,0.727,1.6,1209.0
CHRONIC DELAY — Monitor,IND395001AAA,IND395023AAD,CARTING,213.7,158.0,-55.7,-0.1,9,1.0,10.533,1208.0
CHRONIC DELAY — Monitor,IND670645AAB,IND673592AAA,CARTING,240.6,42.8,-197.7,-0.1,21,0.952,2.4,1207.0
CHRONIC DELAY — Monitor,IND441206AAB,IND442605AAA,CARTING,275.5,28.3,-247.3,-0.1,29,1.0,2.167,1185.0
CHRONIC DELAY — Monitor,IND211011AAA,IND212501AAA,CARTING,178.7,20.8,-157.9,-0.1,23,1.0,3.5,1145.0
CHRONIC DELAY — Monitor,IND123401AAB,IND123106AAB,CARTING,229.1,227.2,-1.9,-0.2,30,0.967,1.848,1142.0
CHRONIC DELAY — Monitor,IND401104AAB,IND421302AAG,CARTING,175.2,152.4,-22.8,-0.1,27,1.0,2.412,1131.0
CHRONIC DELAY — Monitor,IND742101AAC,IND741123AAB,CARTING,219.5,148.6,-70.9,-0.1,10,1.0,2.247,1116.0
CHRONIC DELAY — Monitor,IND302014AAB,IND302023AAA,CARTING,227.2,15.7,-211.6,-0.1,33,0.848,2.0,1084.0
CHRONIC DELAY — Monitor,IND700053AAA,IND712311AAA,CARTING,193.7,57.5,-136.2,-0.1,15,1.0,3.2,1083.0
CHRONIC DELAY — Monitor,IND204215AAA,IND207001AAA,CARTING,229.4,41.8,-187.5,-0.1,24,1.0,2.875,1071.0
CHRONIC DELAY — Monitor,IND741156AAA,IND742102AAB,CARTING,227.3,17.1,-210.1,-0.1,29,1.0,2.333,1065.0
CHRONIC DELAY — Monitor,IND263153AAB,IND244715AAA,CARTING,384.1,289.1,-95.0,-0.2,33,0.667,1.683,1046.0
CHRONIC DELAY — Monitor,IND507123AAA,IND506314AAA,CARTING,281.7,209.7,-72.1,-0.2,32,0.531,1.266,1033.0
CHRONIC DELAY — Monitor,IND563131AAB,IND560300AAA,CARTING,288.2,26.4,-261.8,-0.1,20,0.7,1.69,1023.0
CHRONIC DELAY — Monitor,IND68004AAA,IND683511AAA,CARTING,256.6,31.7,-224.9,-0.1,29,0.828,1.889,1014.0
CHRONIC DELAY — Monitor,IND713205AAB,IND723130AAA,CARTING,417.9,319.9,-98.0,-0.2,8,0.875,2.065,1013.0
CHRONIC DELAY — Monitor,IND585314AAA,IND586211AAA,CARTING,281.9,49.5,-232.4,-0.1,27,0.778,1.545,1003.0
CHRONIC DELAY — Monitor,IND814112AAA,IND814133AAB,CARTING,247.3,241.2,-6.1,-0.2,18,0.944,2.417,991.0
CHRONIC DELAY — Monitor,IND583101AAA,IND577535AAC,CARTING,276.9,62.4,-214.5,-0.1,30,1.0,1.833,984.0
CHRONIC DELAY — Monitor,IND521185AAA,IND521225AAB,CARTING,189.2,57.5,-131.7,-0.1,20,0.85,1.69,982.0
CHRONIC DELAY — Monitor,IND500008AAF,IND500039AAC,CARTING,161.1,17.4,-143.7,-0.1,26,1.0,2.767,975.0
CHRONIC DELAY — Monitor,IND631003AAA,IND600056AAB,CARTING,214.9,52.9,-162.0,-0.1,18,1.0,2.1,973.0
CHRONIC DELAY — Monitor,IND500010AAA,IND501359AAE,CARTING,144.5,97.2,-47.4,-0.1,23,0.783,1.6,954.0
CHRONIC DELAY — Monitor,IND342005AAD,IND342601AAA,CARTING,213.4,208.9,-4.5,-0.2,18,1.0,2.0,946.0
CHRONIC DELAY — Monitor,IND175001AAA,IND175101AAA,CARTING,335.7,312.9,-22.8,-0.3,20,0.9,1.407,937.0
CHRONIC DELAY — Monitor,IND742101AAC,IND742303AAB,CARTING,130.9,53.8,-77.1,-0.1,27,0.815,2.571,937.0
CHRONIC DELAY — Monitor,IND742148AAA,IND742225AAA,CARTING,164.0,43.0,-121.0,-0.1,25,1.0,4.0,928.0
CHRONIC DELAY — Monitor,IND421302AAG,IND400701AAB,CARTING,183.7,49.5,-134.2,-0.1,27,1.0,2.286,919.0
CHRONIC DELAY — Monitor,IND110037AAM,IND110085AAB,CARTING,256.4,58.1,-198.3,-0.1,29,0.966,1.846,917.0
CHRONIC DELAY — Monitor,IND271001AAA,IND271201AAA,CARTING,216.6,28.8,-187.8,-0.1,24,1.0,2.675,914.0
CHRONIC DELAY — Monitor,IND742101AAC,IND731237AAB,CARTING,171.3,62.4,-109.0,-0.1,28,1.0,2.854,913.0
CHRONIC DELAY — Monitor,IND560078AAC,IND560099AAB,CARTING,264.7,20.1,-244.5,-0.1,32,0.781,2.215,907.0
CHRONIC DELAY — Monitor,IND786181AAC,IND792121AAB,CARTING,229.0,24.6,-204.4,-0.1,28,1.0,2.938,907.0
CHRONIC DELAY — Monitor,IND411033AAA,IND411021AAA,CARTING,226.2,29.6,-196.5,-0.1,29,0.759,2.0,904.0
CHRONIC DELAY — Monitor,IND281401AAA,IND121004AAB,CARTING,228.9,47.1,-181.8,-0.1,20,1.0,1.804,900.0
CHRONIC DELAY — Monitor,IND431717AAA,IND431603AAA,CARTING,278.0,43.5,-234.6,-0.1,9,1.0,1.857,896.0
CHRONIC DELAY — Monitor,IND000000AAL,IND411033AAA,CARTING,188.3,37.2,-151.1,-0.1,27,1.0,2.167,879.0
CHRONIC DELAY — Monitor,IND574216AAA,IND575004AAB,CARTING,238.2,36.6,-201.6,-0.1,24,1.0,2.31,879.0
CHRONIC DELAY — Monitor,IND302014AAB,IND302006AAC,CARTING,208.5,21.1,-187.4,-0.1,30,0.933,2.25,878.0
CHRONIC DELAY — Monitor,IND563131AAB,IND560300AAB,CARTING,291.5,52.9,-238.6,-0.1,14,0.786,1.667,868.0
CHRONIC DELAY — Monitor,IND501401AAC,IND500010AAA,CARTING,189.5,145.5,-44.0,-0.1,10,1.0,6.404,859.0
CHRONIC DELAY — Monitor,IND400701AAB,IND421302AAG,CARTING,208.0,25.9,-182.1,-0.1,24,1.0,2.202,852.0
CHRONIC DELAY — Monitor,IND741201AAC,IND712311AAA,CARTING,969.5,928.9,-40.6,-0.6,1,1.0,15.877,848.0
CHRONIC DELAY — Monitor,IND515201AAA,IND515134AAA,CARTING,262.1,41.6,-220.5,-0.1,18,1.0,1.652,844.0
CHRONIC DELAY — Monitor,IND731237AAB,IND731224AAA,CARTING,119.2,61.7,-57.4,-0.1,27,1.0,3.375,839.0
CHRONIC DELAY — Monitor,IND785001AAA,IND798601AAA,CARTING,190.0,68.8,-121.2,-0.1,7,1.0,3.286,830.0
CHRONIC DELAY — Monitor,IND421302AAG,IND421401AAC,CARTING,243.2,37.6,-205.6,-0.1,28,0.964,2.432,825.0
